RA,DEC,NTILE
180.42162923302737,1.438449327633931,1
180.17475991606904,1.3752704907205497,1
178.46801680443028,1.257610993554067,1
178.9139087017638,1.5261177845878633,1
178.89912492079242,1.5032758337878818,1
178.89510584458938,1.5043970103806306,1
180.40517015613824,1.3752061423200386,1
181.03688404669697,0.831654858510459,1
180.42444227923508,1.4881059808488513,1
180.89538314041627,1.0361887068959876,1
180.97107925251981,0.7083370454129287,1
180.16187606789535,1.3714839374608865,1
178.64421224656328,1.430001152445982,1
178.90972898648616,1.5185868088462713,1
180.39246079148367,1.4737448683717806,1
180.4006946721733,1.4664942295122945,1
180.90636460857644,1.02500405068064,1
179.2773409869876,1.6947393632264065,1
179.27604332446447,1.683418678922716,1
179.2615522949396,1.6758832071421654,1
179.2558703930279,1.702906761576555,1
179.25419757955507,1.680863340352854,1
178.0899893965639,0.4145961385321559,1
179.48986139719244,1.7231699551008062,1
180.8995353768445,1.0307342334096734,1
179.25037079274693,1.6960074796922124,1
179.17292623815845,1.6679055804805156,1
178.28246106568017,0.7956272515546896,1
180.44205463986287,1.4339196874940223,1
180.91083865559727,1.0399209856584881,1
180.40498978940101,1.484495008500707,1
179.8353071160339,1.695636769840288,1
178.1540825464463,0.7245688158314424,1
179.90505778004263,1.652078235236469,1
179.9281851734294,1.6638548700807596,1
178.20500212786564,0.6993858626045826,1
180.69648096556844,-0.38289256868593635,6
180.09817958612786,0.0918171672554934,6
180.69579801784215,-0.3823919839352185,6
179.5093350422598,-0.6815022910065439,7
180.31208178805485,0.2943085916762777,7
179.9420380132039,-1.0071962728795802,7
178.81608765332078,0.6902127769343377,8
180.06355580601348,0.6308220033053491,8
178.92741818346676,0.6857843167840273,8
180.2389055367751,-0.3177046044920222,8
179.01386488732942,-1.2978125493877084,8
180.1016163654009,0.08752679037357226,8
178.99940033326652,-1.3109593144276126,8
179.44359797896388,0.8868217217848787,8
180.12770623873803,-0.3881157180591356,9
179.39354837271281,1.3463016684793963,9
179.61094237795942,-0.40864690467551373,9
180.7081251294406,0.48639199114510867,9
178.8077192049719,-1.0549481862850816,9
178.8219420097572,-1.0654668272141408,9
180.0145534115128,0.9581524895949464,9
