healpix,sv1,sv2,sv3
683,101.27563872905763,0.0,0.0
686,418.2088140458733,0.0,0.0
687,413.44290163509413,0.0,0.0
698,90.55233580480447,0.0,0.0
727,145.36032852876508,0.0,0.0
733,363.4008213219127,0.0,0.0
735,314.5502191114261,0.0,0.0
765,90.55233580480447,0.0,0.0
767,203.74275556081005,0.0,0.0
898,421.7832483539577,0.0,0.0
899,393.1877738892826,0.0,0.0
902,48.85060221048662,0.0,0.0
904,421.7832483539577,0.0,0.0
905,422.9747264566525,0.0,0.0
906,222.8064052039268,0.0,0.0
907,432.50655127821085,0.0,0.0
908,221.614927101232,0.0,0.0
910,140.5944161179859,0.0,0.0
928,117.95633216678478,0.0,0.0
929,117.95633216678478,0.0,0.0
930,126.29667888564835,0.0,0.0
931,239.48709864165394,0.0,0.0
934,97.70120442097324,0.0,0.0
936,478.9741972833079,0.0,0.0
937,463.4849819482755,0.0,0.0
938,456.3361133321068,0.0,0.0
939,413.44290163509413,0.0,0.0
940,366.9752556299971,0.0,0.0
942,424.16620455934725,0.0,0.0
2049,264.50813879824466,0.0,0.0
2051,231.14675192279037,0.0,0.0
2052,422.9747264566525,0.0,0.0
2053,402.71959871084096,0.0,0.0
2054,179.91319350691415,0.0,0.0
2055,438.4639417916848,0.0,0.0
2060,53.61651462126581,0.0,0.0
2061,179.91319350691415,0.0,0.0
2063,89.36085770210968,0.0,0.0
2064,313.3587410087313,0.0,0.0
2066,278.80587603058217,0.0,0.0
2072,163.232500069187,0.0,0.0
2073,274.039963619803,0.0,0.0
2074,419.4002921485681,0.0,0.0
2075,411.0599454297045,0.0,0.0
2076,120.33928837217437,0.0,0.0
2078,384.847427170419,0.0,0.0
2079,13.106259129642753,0.0,0.0
2085,121.53076647486917,0.0,0.0
2087,7.148868616168774,0.0,0.0
2096,390.80481768389296,0.0,0.0
2097,320.50760962490006,0.0,0.0
2098,21.446605848506323,0.0,0.0
2099,295.4865694683093,0.0,0.0
2100,425.35768266204207,0.0,0.0
2101,25.02104015659071,0.0,0.0
2102,145.36032852876508,0.0,0.0
2133,42.893211697012646,0.0,0.0
2304,299.0610037763937,0.0,0.0
2305,364.59229942460746,0.0,0.0
2308,120.33928837217437,0.0,0.0
2705,21.446605848506323,0.0,0.0
2707,245.4444891551279,0.0,0.0
2708,123.91372268025876,0.0,0.0
2709,181.10467160960894,0.0,0.0
2710,191.82797453386212,0.0,0.0
2711,253.78483587399148,0.0,0.0
2716,3.574434308084387,0.0,0.0
2752,114.38189785870038,0.0,0.0
2754,38.12729928623346,0.0,0.0
4096,316.93317531681566,0.0,0.0
4097,157.27510955571304,0.0,0.0
4098,421.7832483539577,0.0,0.0
4099,340.7627373707116,0.0,0.0
4100,8.34034671886357,0.0,0.0
4104,51.23355841587622,0.0,0.0
4105,10.723302924253161,0.0,0.0
4241,439.65541989437963,0.0,0.0
4242,61.95686134012938,0.0,0.0
4243,797.0988507028184,0.0,0.0
4244,695.8232119737606,0.0,0.0
4245,357.44343080843873,0.0,0.0
4246,729.1845988492149,0.0,0.0
4247,496.8463688237298,0.0,0.0
4248,10.723302924253161,0.0,0.0
4249,697.0146900764555,0.0,0.0
4251,59.57390513473978,0.0,0.0
4252,635.0578287363261,0.0,0.0
4253,688.674343357592,0.0,0.0
4254,382.4644709650294,0.0,0.0
4255,399.14516440275656,0.0,0.0
4290,89.36085770210968,0.0,0.0
4296,165.61545627457662,0.0,0.0
4298,4.765912410779182,0.0,0.0
4678,2.382956205389591,0.0,0.0
4679,277.6143979278874,0.0,0.0
4684,57.19094892935019,0.0,0.0
4685,697.0146900764555,0.0,0.0
4686,76.25459857246692,0.0,0.0
4687,621.9515696066834,0.0,0.0
4688,22.638083951201118,0.0,0.0
4690,467.0594162563599,0.0,0.0
4691,278.80587603058217,0.0,0.0
4694,4.765912410779182,0.0,0.0
4696,664.844781303696,0.0,0.0
4697,568.3350549854175,0.0,0.0
4698,595.7390513473979,0.0,0.0
4699,667.2277375090856,0.0,0.0
4700,97.70120442097324,0.0,0.0
4702,244.25301105243312,0.0,0.0
4703,173.95580299344016,0.0,0.0
4708,9.531824821558365,0.0,0.0
4709,148.93476283684947,0.0,0.0
4720,328.8479563437636,0.0,0.0
4721,470.6338505644443,0.0,0.0
4722,50.04208031318142,0.0,0.0
4723,249.0189234632123,0.0,0.0
4724,474.2082848725287,0.0,0.0
4725,436.08098558629524,0.0,0.0
4726,364.59229942460746,0.0,0.0
4727,364.59229942460746,0.0,0.0
4729,38.12729928623346,0.0,0.0
4732,61.95686134012938,0.0,0.0
4733,394.37925199197736,0.0,0.0
4735,4.765912410779182,0.0,0.0
4736,36.935821183538664,0.0,0.0
4738,565.952098780028,0.0,0.0
4744,801.8647631135975,0.0,0.0
4745,32.169908772759484,0.0,0.0
4746,536.1651462126581,0.0,0.0
4768,456.3361133321068,0.0,0.0
4769,291.9121351602249,0.0,0.0
4770,405.10255491623053,0.0,0.0
4771,413.44290163509413,0.0,0.0
4772,4.765912410779182,0.0,0.0
4774,100.08416062636284,0.0,0.0
4776,431.31507317551603,0.0,0.0
4777,422.9747264566525,0.0,0.0
4778,188.25354022577773,0.0,0.0
4779,84.59494529133049,0.0,0.0
4780,79.82903288055131,0.0,0.0
4874,14.297737232337548,0.0,0.0
4896,268.08257310632905,0.0,0.0
4898,372.93264614347106,0.0,0.0
4904,142.97737232337548,0.0,0.0
4951,291.9121351602249,0.0,0.0
4955,207.31718986889445,0.0,0.0
4956,4.765912410779182,0.0,0.0
4957,698.2061681791503,0.0,0.0
4958,582.6327922177551,0.0,0.0
4959,1140.2445442789194,0.0,0.0
4967,151.31771904223905,0.0,0.0
4971,29.78695256736989,0.0,0.0
4972,45.276167902402236,0.0,0.0
4973,407.4855111216201,0.0,0.0
4974,61.95686134012938,0.0,0.0
4975,339.5712592680168,0.0,0.0
4976,17.872171540421935,0.0,0.0
4977,537.3566243153529,0.0,0.0
4978,388.4218614785034,0.0,0.0
4979,780.4181572650912,0.0,0.0
4980,508.7611498506778,0.0,0.0
4981,319.31613152220524,0.0,0.0
4982,593.3560951420083,0.0,0.0
4983,476.59124107791826,0.0,0.0
4984,384.847427170419,0.0,0.0
4985,518.2929746722361,0.0,0.0
4986,263.31666069554984,0.0,0.0
4987,394.37925199197736,0.0,0.0
4988,328.8479563437636,0.0,0.0
4989,50.04208031318142,0.0,0.0
4990,38.12729928623346,0.0,0.0
5015,19.06364964311673,0.0,0.0
5019,117.95633216678478,0.0,0.0
5020,48.85060221048662,0.0,0.0
5021,69.10572995629815,0.0,0.0
5022,390.80481768389296,0.0,0.0
5023,376.50708045155545,0.0,0.0
5031,135.82850370720672,0.0,0.0
5035,341.95421547340635,0.0,0.0
5036,48.85060221048662,0.0,0.0
5037,402.71959871084096,0.0,0.0
5038,805.4391974216819,0.0,0.0
5039,968.671697490869,0.0,0.0
5041,312.16726290603646,0.0,0.0
5042,331.23091254915323,0.0,0.0
5043,508.7611498506778,0.0,0.0
5044,327.65647824106884,0.0,0.0
5045,344.337171678796,0.0,0.0
5046,351.4860402949647,0.0,0.0
5047,332.422390651848,0.0,0.0
5048,356.2519527057439,0.0,0.0
5049,409.86846732700974,0.0,0.0
5050,442.0383760997692,0.0,0.0
5051,340.7627373707116,0.0,0.0
5052,182.29614971230373,0.0,0.0
5053,23.829562053895913,0.0,0.0
5054,10.723302924253161,0.0,0.0
5056,464.6764600509703,0.0,0.0
5057,1165.2655844355102,0.0,0.0
5058,1109.2661136088548,0.0,0.0
5059,1022.2882121121347,0.0,0.0
5060,1080.6706391441796,0.0,0.0
5061,159.65806576110262,0.0,0.0
5062,969.8631755935637,0.0,0.0
5063,389.6133395811982,0.0,0.0
5064,1029.4370807283035,0.0,0.0
5065,993.6927376474596,0.0,0.0
5066,250.2104015659071,0.0,0.0
5067,461.1020257428859,0.0,0.0
5068,1081.8621172468745,0.0,0.0
5069,97.70120442097324,0.0,0.0
5070,110.807463550616,0.0,0.0
5072,201.35979935542048,0.0,0.0
5073,54.8079927239606,0.0,0.0
5088,212.08310227967362,0.0,0.0
5090,42.893211697012646,0.0,0.0
5211,183.48762781499855,0.0,0.0
5212,185.87058402038812,0.0,0.0
5213,408.6769892243149,0.0,0.0
5214,870.9704930698956,0.0,0.0
5215,838.8005842971362,0.0,0.0
5227,163.232500069187,0.0,0.0
5228,25.02104015659071,0.0,0.0
5229,23.829562053895913,0.0,0.0
5230,419.4002921485681,0.0,0.0
5231,431.31507317551603,0.0,0.0
5233,462.29350384558074,0.0,0.0
5235,207.31718986889445,0.0,0.0
5236,793.524416394734,0.0,0.0
5237,702.9720805899294,0.0,0.0
5238,704.1635586926243,0.0,0.0
5239,648.1640878659689,0.0,0.0
5242,88.16937959941488,0.0,0.0
5244,28.595474464675096,0.0,0.0
5245,10.723302924253161,0.0,0.0
5271,187.0620621230829,0.0,0.0
5276,506.37819364528815,0.0,0.0
5277,1556.070402119403,0.0,0.0
5278,1164.0741063328153,0.0,0.0
5279,1296.3281757319378,0.0,0.0
5287,2.382956205389591,0.0,0.0
5291,17.872171540421935,0.0,0.0
5292,166.8069343772714,0.0,0.0
5293,397.95368630006175,0.0,0.0
5294,395.5707300946722,0.0,0.0
5295,347.9116059868803,0.0,0.0
5300,810.2051098324611,0.0,0.0
5301,1171.222974948984,0.0,0.0
5302,5.957390513473978,0.0,0.0
5303,268.08257310632905,0.0,0.0
5304,346.72012788418556,0.0,0.0
5305,42.893211697012646,0.0,0.0
5306,208.50866797158923,0.0,0.0
5307,50.04208031318142,0.0,0.0
5313,380.08151475963984,0.0,0.0
5314,356.2519527057439,0.0,0.0
5315,308.59282859795206,0.0,0.0
5316,366.9752556299971,0.0,0.0
5317,420.59177025126286,0.0,0.0
5318,208.50866797158923,0.0,0.0
5319,396.762208197367,0.0,0.0
5320,1591.814745200247,0.0,0.0
5321,648.1640878659689,0.0,0.0
5322,1407.1356392825537,0.0,0.0
5323,969.8631755935637,0.0,0.0
5324,108.4245073452264,0.0,0.0
5325,36.935821183538664,0.0,0.0
5328,208.50866797158923,0.0,0.0
5330,48.85060221048662,0.0,0.0
5344,1379.7316429205734,0.0,0.0
5345,204.93423366350487,0.0,0.0
5346,79.82903288055131,0.0,0.0
5380,166.8069343772714,0.0,0.0
5381,370.5496899380815,0.0,0.0
5383,35.74434308084387,0.0,0.0
5384,171.57284678805058,0.0,0.0
5386,574.2924454988915,0.0,0.0
5387,4.765912410779182,0.0,0.0
5392,319.31613152220524,0.0,0.0
5393,59.57390513473978,0.0,0.0
5394,14.297737232337548,0.0,0.0
5408,420.59177025126286,0.0,0.0
5410,154.89215335032344,0.0,0.0
5563,34.552864978149074,0.0,0.0
5566,191.82797453386212,0.0,0.0
5567,16.68069343772714,0.0,0.0
5599,0.0,110.807463550616,0.0
5607,0.0,135.82850370720672,0.0
5610,2.382956205389591,0.0,0.0
5611,157.27510955571304,8.34034671886357,0.0
5612,0.0,114.38189785870038,0.0
5613,0.0,1317.7747815804441,0.0
5614,77.44607667516172,854.2897996321685,0.0
5615,0.0,2094.618504537451,0.0
5616,0.0,82.2119890859409,0.0
5617,0.0,85.78642339402529,0.0
5618,0.0,792.3329382920391,0.0
5619,0.0,536.1651462126581,0.0
5620,0.0,158.46658765840783,0.0
5621,0.0,816.1625003459351,0.0
5622,0.0,1131.904197560056,0.0
5623,0.0,1073.5217705280108,0.0
5624,0.0,1248.6690516241458,0.0
5625,0.0,1049.692208474115,0.0
5626,158.46658765840783,1490.5391064711894,0.0
5627,134.6370256045119,1223.648011467555,0.0
5628,0.0,1701.4307306481683,0.0
5629,0.0,1347.561734147814,0.0
5630,0.0,1547.7300554005396,0.0
5631,0.0,1303.4770443481066,0.0
5632,71.48868616168774,0.0,0.0
5633,96.50972631827845,0.0,0.0
5634,843.5664967079153,0.0,0.0
5635,805.4391974216819,0.0,0.0
5636,408.6769892243149,0.0,0.0
5637,405.10255491623053,0.0,0.0
5638,296.67804757100413,0.0,0.0
5639,189.44501832847251,0.0,0.0
5640,713.6953835141826,0.0,0.0
5641,716.0783397195722,0.0,0.0
5642,865.0131025564217,0.0,0.0
5643,763.7374638273641,0.0,0.0
5644,381.2729928623346,0.0,0.0
5646,77.44607667516172,0.0,0.0
5648,339.5712592680168,0.0,0.0
5650,52.42503651857101,0.0,0.0
5651,2.382956205389591,0.0,0.0
5654,235.91266433356955,0.0,0.0
5655,402.71959871084096,0.0,0.0
5657,152.50919714493384,0.0,0.0
5659,223.9978833066216,0.0,0.0
5660,455.14463522941196,0.0,0.0
5661,370.5496899380815,0.0,0.0
5662,425.35768266204207,0.0,0.0
5663,422.9747264566525,0.0,0.0
5664,314.5502191114261,0.0,0.0
5665,48.85060221048662,0.0,0.0
5681,30.97843067006469,0.0,0.0
5684,243.06153294973834,0.0,0.0
5685,154.89215335032344,0.0,0.0
5698,229.95527382009556,0.0,0.0
5701,54.8079927239606,0.0,0.0
5702,204.93423366350487,0.0,0.0
5703,395.5707300946722,0.0,0.0
5704,387.23038337580863,0.0,0.0
5705,63.148339442824174,0.0,0.0
5706,250.2104015659071,0.0,0.0
5707,94.12677011288886,0.0,0.0
5708,421.7832483539577,0.0,0.0
5709,365.7837775273023,0.0,0.0
5710,262.125182592855,0.0,0.0
5711,346.72012788418556,0.0,0.0
5712,67.91425185360336,0.0,0.0
5714,424.16620455934725,0.0,0.0
5715,89.36085770210968,0.0,0.0
5716,5.957390513473978,0.0,0.0
5717,213.27458038236844,0.0,0.0
5718,203.74275556081005,0.0,0.0
5719,468.2508943590547,0.0,0.0
5720,424.16620455934725,0.0,0.0
5721,101.27563872905763,0.0,0.0
5722,240.67857674434873,0.0,0.0
5723,42.893211697012646,0.0,0.0
5724,406.29403301892535,0.0,0.0
5725,334.80534685723757,0.0,0.0
5726,178.72171540421937,0.0,0.0
5727,407.4855111216201,0.0,0.0
5728,4.765912410779182,0.0,0.0
5732,10.723302924253161,0.0,0.0
5733,100.08416062636284,0.0,0.0
5744,1.1914781026947956,0.0,0.0
5748,83.4034671886357,0.0,0.0
5749,108.4245073452264,0.0,0.0
5888,272.8484855171082,0.0,0.0
5890,437.27246368899,0.0,0.0
5891,20.255127745811528,0.0,0.0
5896,375.31560234886064,0.0,0.0
5897,1.1914781026947956,0.0,0.0
5898,128.67963509103794,0.0,0.0
5904,19.06364964311673,0.0,0.0
5905,593.3560951420083,0.0,0.0
5906,245.4444891551279,0.0,0.0
5907,617.1856571959041,0.0,0.0
5908,556.4202739584696,0.0,0.0
5909,137.0199818099015,0.0,0.0
5910,552.8458396503852,0.0,0.0
5911,126.29667888564835,0.0,0.0
5912,580.2498360123654,0.0,0.0
5913,726.8016426438254,0.0,0.0
5914,290.72065705753016,0.0,0.0
5915,711.3124273087931,0.0,0.0
5916,613.6112228878197,0.0,0.0
5917,278.80587603058217,0.0,0.0
5918,189.44501832847251,0.0,0.0
5919,290.72065705753016,0.0,0.0
5936,7.148868616168774,0.0,0.0
5937,11.914781026947956,0.0,0.0
5940,114.38189785870038,0.0,0.0
5941,299.0610037763937,0.0,0.0
5942,184.67910591769333,0.0,0.0
5943,333.6138687545428,0.0,0.0
5948,46.46764600509703,0.0,0.0
5949,201.35979935542048,0.0,0.0
5952,204.93423366350487,0.0,0.0
5953,455.14463522941196,263.31666069554984,0.0
5954,400.3366425054514,0.0,0.0
5955,368.16673373269185,543.3140148288269,0.0
5956,272.8484855171082,1293.945219526548,0.0
5957,60.765383237434584,1875.3865336416084,0.0
5958,210.89162417697884,1361.8594713801515,0.0
5959,228.76379571740077,1503.645365600832,0.0
5960,588.5901827312291,0.0,0.0
5961,500.4208031318142,275.2314417224978,0.0
5962,544.5054929315216,0.0,0.0
5963,315.74169721412085,0.0,0.0
5964,119.14781026947956,1073.5217705280108,0.0
5965,334.80534685723757,1168.8400187435946,0.0
5966,1.1914781026947956,309.7843067006469,0.0
5967,291.9121351602249,1303.4770443481066,0.0
5968,328.8479563437636,1507.2197999089165,0.0
5969,175.14728109613498,1359.476515174762,0.0
5970,235.91266433356955,1398.79529256369,0.0
5971,141.7858942206807,1602.5380481245002,0.0
5972,0.0,1114.032026019634,0.0
5973,0.0,1380.9231210232683,0.0
5974,0.0,1174.7974092570685,0.0
5975,0.0,1384.4975553313525,0.0
5976,365.7837775273023,1538.1982305789813,0.0
5977,78.63755477785652,1248.6690516241458,0.0
5978,253.78483587399148,1634.7079568972597,0.0
5979,1.1914781026947956,1255.8179202403146,0.0
5980,0.0,1576.3255298652148,0.0
5981,0.0,1546.5385772978448,0.0
5982,0.0,1404.7526830771642,0.0
5983,0.0,1513.1771904223906,0.0
5984,282.38031033866656,0.0,0.0
5985,70.29720805899295,0.0,0.0
5986,246.6359672578227,0.0,0.0
5987,1.1914781026947956,0.0,0.0
5988,0.0,621.9515696066834,0.0
5989,13.106259129642753,1296.3281757319378,0.0
5990,0.0,770.8863324435329,0.0
5991,0.0,1309.4344348615805,0.0
5992,28.595474464675096,0.0,0.0
5996,0.0,422.9747264566525,0.0
5997,0.0,649.3555659686637,0.0
5999,0.0,57.19094892935019,0.0
6000,0.0,1421.4333765148913,0.0
6001,0.0,1143.8189785870038,0.0
6002,0.0,655.3129564821377,0.0
6003,0.0,831.6517156809674,0.0
6004,0.0,1303.4770443481066,0.0
6005,0.0,723.227208335741,0.0
6006,0.0,689.8658214602867,0.0
6007,0.0,246.6359672578227,0.0
6008,0.0,302.6354380844781,0.0
6009,0.0,5.957390513473978,0.0
6010,0.0,4.765912410779182,0.0
6012,0.0,166.8069343772714,0.0
6013,0.0,16.68069343772714,0.0
6239,13.106259129642753,0.0,0.0
6251,216.8490146904528,0.0,0.0
6252,154.89215335032344,0.0,0.0
6253,338.37978116532196,0.0,0.0
6254,828.077281372883,0.0,0.0
6255,809.0136317297663,0.0,0.0
6260,34.552864978149074,0.0,0.0
6261,368.16673373269185,0.0,0.0
6262,191.82797453386212,0.0,0.0
6263,359.8263870138283,0.0,0.0
6264,210.89162417697884,0.0,0.0
6265,4.765912410779182,0.0,0.0
6266,480.16567538600265,0.0,0.0
6267,64.33981754551897,0.0,0.0
6268,148.93476283684947,0.0,0.0
6269,131.0625912964275,0.0,0.0
6271,40.510255491623056,0.0,0.0
6337,486.12306589947667,0.0,0.0
6339,322.89056583028963,0.0,0.0
6340,706.5465148980138,0.0,0.0
6341,688.674343357592,0.0,0.0
6342,281.1888322359718,0.0,0.0
6343,623.1430477093782,0.0,0.0
6345,15.489215335032345,0.0,0.0
6348,125.10520078295355,0.0,0.0
6349,34.552864978149074,0.0,0.0
6352,575.4839236015863,0.0,0.0
6353,25.02104015659071,0.0,0.0
6354,129.87111319373273,0.0,0.0
6363,28.595474464675096,0.0,0.0
6364,1.1914781026947956,0.0,0.0
6365,58.38242703204499,0.0,0.0
6366,378.89003665694503,0.0,0.0
6367,685.0999090495076,0.0,0.0
6385,235.91266433356955,0.0,0.0
6387,283.5717884413614,0.0,0.0
6388,662.4618250983065,0.0,0.0
6389,847.1409310159997,0.0,0.0
6390,812.5880660378507,0.0,0.0
6391,844.7579748106101,0.0,0.0
6393,33.36138687545428,0.0,0.0
6395,38.12729928623346,0.0,0.0
6396,356.2519527057439,0.0,0.0
6397,399.14516440275656,0.0,0.0
6398,290.72065705753016,0.0,0.0
6399,347.9116059868803,0.0,0.0
6400,63.148339442824174,0.0,0.0
6401,799.4818069082079,0.0,0.0
6402,77.44607667516172,0.0,0.0
6403,683.9084309468127,0.0,0.0
6404,774.4607667516173,0.0,0.0
6405,921.0125733830771,0.0,0.0
6406,776.8437229570068,0.0,0.0
6407,1135.4786318681404,0.0,0.0
6409,140.5944161179859,0.0,0.0
6410,96.50972631827845,0.0,0.0
6411,226.3808395120112,0.0,0.0
6412,738.7164236707733,0.0,0.0
6413,470.6338505644443,0.0,0.0
6414,432.50655127821085,0.0,0.0
6415,428.93211697012646,0.0,0.0
6416,457.52759143480154,0.0,0.0
6417,64.33981754551897,0.0,0.0
6418,289.52917895483534,0.0,0.0
6424,394.37925199197736,0.0,0.0
6426,293.10361326291974,0.0,0.0
6432,426.5491607647369,0.0,0.0
6433,274.039963619803,0.0,0.0
6434,322.89056583028963,0.0,0.0
6435,355.0604746030491,0.0,0.0
6436,225.18936140931638,0.0,0.0
6437,198.97684315003087,0.0,0.0
6440,352.6775183976595,0.0,0.0
6441,141.7858942206807,0.0,0.0
6442,41.70173359431785,0.0,0.0
6447,3.574434308084387,0.0,0.0
6448,21.446605848506323,0.0,0.0
6458,96.50972631827845,0.0,0.0
6459,59.57390513473978,0.0,0.0
6532,4.765912410779182,0.0,0.0
6533,376.50708045155545,0.0,0.0
6534,202.55127745811527,0.0,0.0
6535,413.44290163509413,0.0,0.0
6536,10.723302924253161,0.0,0.0
6538,615.9941790932094,0.0,0.0
6539,119.14781026947956,0.0,0.0
6540,219.2319708958424,0.0,0.0
6541,177.53023730152455,0.0,0.0
6543,58.38242703204499,0.0,0.0
6544,481.35715348869746,0.0,0.0
6545,376.50708045155545,0.0,0.0
6546,382.4644709650294,0.0,0.0
6547,388.4218614785034,0.0,0.0
6552,426.5491607647369,0.0,0.0
6553,101.27563872905763,0.0,0.0
6554,35.74434308084387,0.0,0.0
6560,781.6096353677859,0.0,0.0
6561,283.5717884413614,0.0,0.0
6562,540.9310586234373,0.0,0.0
6563,150.12624093954426,0.0,0.0
6568,152.50919714493384,0.0,0.0
6570,122.72224457756396,0.0,0.0
6669,2.382956205389591,0.0,0.0
6671,173.95580299344016,0.0,0.0
6673,113.1904197560056,0.0,0.0
6674,35.74434308084387,0.0,0.0
6675,369.35821183538667,0.0,0.0
6676,299.0610037763937,0.0,0.0
6677,278.80587603058217,0.0,0.0
6678,346.72012788418556,0.0,0.0
6679,352.6775183976595,0.0,0.0
6680,246.6359672578227,0.0,0.0
6681,657.6959126875272,0.0,0.0
6682,464.6764600509703,0.0,0.0
6683,415.8258578404837,0.0,0.0
6684,402.71959871084096,0.0,0.0
6685,364.59229942460746,0.0,0.0
6686,608.8453104770406,0.0,0.0
6687,250.2104015659071,0.0,0.0
6693,296.67804757100413,0.0,0.0
6695,48.85060221048662,0.0,0.0
6704,287.14622274944577,0.0,0.0
6705,496.8463688237298,0.0,0.0
6706,133.44554750181712,0.0,0.0
6707,477.78271918061307,0.0,0.0
6708,702.9720805899294,0.0,0.0
6709,424.16620455934725,0.0,0.0
6710,355.0604746030491,0.0,0.0
6711,377.6985585542502,0.0,0.0
6713,181.10467160960894,0.0,0.0
6716,169.18989058266098,0.0,0.0
6717,346.72012788418556,0.0,0.0
6718,27.4039963619803,0.0,0.0
6719,1.1914781026947956,0.0,0.0
6720,21.446605848506323,0.0,0.0
6722,97.70120442097324,0.0,0.0
6728,25.02104015659071,0.0,0.0
6730,79.82903288055131,0.0,0.0
6737,285.95474464675095,0.0,0.0
6738,16.68069343772714,0.0,0.0
6739,362.2093432192179,0.0,0.0
6740,374.1241242461658,0.0,0.0
6741,369.35821183538667,0.0,0.0
